ISO,Country,Region,Confirmed cases,Adjusted cases,TB CDR,"Confirmed cumulative incidence per 100,000","Adjusted cumulative incidence per 100,000"
AFG,Afghanistan,Asia,367,531.9,69,0.99,1.43
ALB,Albania,Europe,377,433.3,87,13.15,15.12
DZA,Algeria,Africa,1423,1778.8,80,3.37,4.21
AND,Andorra,Europe,525,603.4,87,681.77,783.64
AGO,Angola,Africa,16,26.2,61,0.05,0.09
ATG,Antigua and Barbuda,Americas,15,17.2,87,15.58,17.91
ARG,Argentina,Americas,1554,1786.2,87,3.49,4.01
ARM,Armenia,Asia,833,1041.2,80,28.22,35.28
AUT,Austria,Europe,12297,16617.6,74,139,187.83
AZE,Azerbaijan,Asia,641,801.2,80,6.45,8.06
BHS,"Bahamas, The",Americas,29,33.3,87,7.52,8.64
BHR,Bahrain,Asia,756,869,87,48.17,55.37
BGD,Bangladesh,Asia,123,164,75,0.08,0.1
BRB,Barbados,Americas,60,69,87,20.93,24.06
BLR,Belarus,Europe,700,875,80,7.38,9.22
BEL,Belgium,Europe,20814,23652.3,88,182.23,207.08
BLZ,Belize,Americas,7,8,87,1.83,2.1
BEN,Benin,Africa,26,41.9,62,0.23,0.37
BTN,Bhutan,Asia,5,6.2,80,0.66,0.83
BOL,Bolivia,Americas,183,295.2,62,1.61,2.6
BIH,Bosnia and Herzegovina,Europe,674,842.5,80,20.28,25.35
BWA,Botswana,Africa,6,10.2,59,0.27,0.45
BRA,Brazil,Americas,12161,13978.2,87,5.81,6.67
BRN,Brunei Darussalam,Asia,135,155.2,87,31.47,36.17
BGR,Bulgaria,Europe,549,669.5,82,7.82,9.53
BFA,Burkina Faso,Africa,364,577.8,63,1.84,2.93
BDI,Burundi,Africa,3,5.2,58,0.03,0.05
CPV,Cabo Verde,Africa,7,8.8,80,1.29,1.61
KHM,Cambodia,Asia,114,196.6,58,0.7,1.21
CMR,Cameroon,Africa,658,1316,50,2.61,5.22
CAN,Canada,Americas,16563,19037.9,87,44.69,51.37
CAF,Central African Republic,Africa,8,18.6,43,0.17,0.4
TCD,Chad,Africa,9,15.3,59,0.06,0.1
CHL,Chile,Americas,4815,5534.5,87,25.71,29.55
CHN,China,Asia,82665,89853.3,92,5.94,6.45
COL,Colombia,Americas,1579,1973.8,80,3.18,3.98
COD,"Congo, Dem. Rep.",Africa,161,255.6,63,0.19,0.3
COG,"Congo, Rep.",Africa,45,83.3,54,0.86,1.59
CRI,Costa Rica,Americas,467,583.8,80,9.34,11.68
CIV,Cote d'Ivoire,Africa,323,547.5,59,1.29,2.18
HRV,Croatia,Europe,1222,1222,100,29.88,29.88
CUB,Cuba,Americas,350,402.3,87,3.09,3.55
CYP,Cyprus,Asia,465,588.6,79,39.1,49.49
CZE,Czech Republic,Europe,4822,6429.3,75,45.38,60.51
DNK,Denmark,Europe,4875,5603.4,87,84.09,96.65
DJI,Djibouti,Africa,90,112.5,80,9.39,11.73
DMA,Dominica,Americas,15,17.2,87,20.94,24.07
DOM,Dominican Republic,Americas,1828,2285,80,17.2,21.5
ECU,Ecuador,Americas,3747,4683.8,80,21.93,27.42
EGY,"Egypt, Arab Rep.",Africa,1322,1944.1,68,1.34,1.98
SLV,El Salvador,Americas,69,86.2,80,1.07,1.34
GNQ,Equatorial Guinea,Africa,16,32,50,1.22,2.44
EST,Estonia,Europe,1108,1273.6,87,83.88,96.42
